annee	groupe	identifiant	sexe	poids	taille	rythmcard	age	baccalaureat	mention	hmental	hmoteur	hsensoriel	pblesocial	pratique	sport	niveau	mecriture	mfourchette	pballon	oeil	rotation	pappui
2006	B	21	feminin	55	165	78	02/10/84	L	P	1	1	0	0	non	NA	loisir	droite	gauche	droit	gauche	droit	droit
2006	B	22	masculin	63	179	60	31/03/84	S	NA	1	1	1	0	non	NA	loisir	droite	droite	droit	droit	droit	droit
2006	B	23	masculin	73	180	62	03/03/81	S	NA	0	1	1	1	oui	handball	competition	gauche	gauche	droit	gauche	gauche	gauche
2006	B	24	masculin	73	184	58	22/11/85	ES	AB	0	1	0	1	oui	football	competition	droite	droite	droit	gauche	gauche	gauche
2006	B	25	masculin	73	183	56	NA	S	P	1	0	0	1	oui	football	competition	droite	droite	droit	droit	droit	droit
2006	B	26	feminin	53	158	60	24/05/85	ES	P	1	0	0	1	oui	NA	NA	droite	droite	droit	gauche	droit	gauche
2006	B	27	feminin	54	168	68	31/10/83	L	AB	1	0	0	0	non	NA	NA	droite	droite	droit	droit	gauche	droit
2006	B	28	feminin	48	163	79	22/06/84	ES	P	1	1	0	0	non	NA	NA	droite	droite	droit	droit	droit	droit
2006	B	29	masculin	66	178	50	24/12/84	S	P	0	1	0	0	oui	football	competition	droite	droite	droit	droit	droit	droit
2006	B	30	masculin	75	175	52	06/03/85	S	AB	0	0	1	1	oui	NA	competition	droite	droite	gauche	droit	droit	gauche
2006	B	31	masculin	78	184	73	17/01/84	ES	AB	0	0	0	1	oui	NA	NA	droite	gauche	droit	droit	droit	droit
2007	A	1	masculin	65	175	55	13/04/87	STI	NA	1	1	1	0	non	NA	loisir	droite	gauche	droit	droit	gauche	droit
2007	A	2	masculin	67	176	45	31/07/86	ES	P	0	1	0	0	oui	cyclisme	competition	droite	droite	droit	droit	droit	droit
2007	A	3	masculin	73	184	70	03/02/87	S	P	1	0	0	0	non	NA	NA	droite	droite	droit	droit	droit	droit
2007	A	4	feminin	67	169	64	08/10/85	S	P	0	0	1	0	oui	judo	competition	droite	droite	droit	droit	gauche	droit
2007	A	5	feminin	62	161	56	29/08/86	S	NA	1	1	0	0	oui	basket	competition	droite	droite	droit	droit	gauche	gauche
2007	A	6	feminin	55	171	86	25/03/87	STT	AB	0	0	0	1	oui	handball	competition	droite	droite	droit	droit	gauche	gauche
2007	A	7	feminin	58	165	72	18/01/87	S	AB	1	1	1	1	oui	kayak	competition	droite	droite	droit	droit	droit	droit
2007	A	8	feminin	58.8	163	62	04/03/85	SMS	P	1	0	0	0	oui	step	loisir	droite	droite	droit	droit	gauche	gauche
2007	A	9	feminin	53	164	76	28/11/87	ES	P	1	0	0	1	non	NA	NA	droite	droite	droit	droit	gauche	droit
2007	A	10	feminin	50	157	80	30/04/88	S	AB	1	0	0	0	non	NA	NA	droite	droite	droit	droit	gauche	gauche
2007	A	11	masculin	110	192	72	23/03/86	S	P	0	1	1	0	oui	rugby	competition	droite	droite	droit	droit	gauche	gauche
2007	A	12	masculin	78	181	68	21/06/84	ES	P	0	0	1	0	oui	football	competition	droite	NA	droit	droit	gauche	gauche
2007	A	13	feminin	51	164	54	29/09/84	SMS	P	1	1	0	0	oui	gymnastique	competition	droite	droite	droit	gauche	droit	gauche
2007	A	14	masculin	83	185	55	01/03/87	ES	P	1	0	0	1	oui	handball	competition	droite	droite	droit	droit	droit	gauche
2007	A	15	feminin	57	165	62	14/05/87	S	P	1	1	1	0	non	NA	loisir	droite	droite	droit	gauche	gauche	droit
2007	A	16	feminin	50	165	75	08/05/86	ES	P	1	1	0	0	non	NA	loisir	droite	droite	droit	gauche	gauche	droit
2007	A	17	feminin	55	167	60	03/06/86	S	AB	0	0	0	0	oui	basket	loisir	droite	droite	droit	droit	gauche	droit
2007	A	18	feminin	54	161	70	01/10/86	ES	P	0	1	1	0	oui	cyclisme	loisir	droite	droite	gauche	droit	gauche	droit
2009	A	1	feminin	67	172	68	14/02/89	S	P	0	1	1	0	non	NA	loisir	droite	droite	droit	droit	droit	droit
2009	A	2	feminin	48	153	72	08/03/88	ES	P	1	0	1	0	non	NA	NA	droite	droite	droit	droit	gauche	droit
2009	A	3	feminin	49	160	72	07/04/89	S	AB	0	0	1	0	oui	danse	competition	droite	droite	droit	gauche	droit	droit
2009	A	4	feminin	58	170	68	22/06/88	ES	P	0	0	1	0	non	NA	loisir	droite	droite	droit	droit	droit	droit
